rapa_up	rapa_down	pho80∆_up	pho80∆_down
CNAG_02373	CNAG_02701	CNAG_07746	CNAG_04659
CNAG_01982	CNAG_07395	CNAG_00895	CNAG_05507
CNAG_05060	CNAG_01653	CNAG_01263	CNAG_04345
CNAG_06020	CNAG_02691	CNAG_02221	CNAG_05019
CNAG_05738	CNAG_07362	CNAG_02777	CNAG_05186
CNAG_08008	CNAG_00813	CNAG_03398	CNAG_00007
CNAG_04614	CNAG_06916	CNAG_04867	CNAG_00057
CNAG_06657	CNAG_04777	CNAG_05459	CNAG_00063
CNAG_07396	CNAG_03724	CNAG_06326	CNAG_00126
CNAG_02919	CNAG_03624	CNAG_07629	CNAG_00162
CNAG_06870	CNAG_07413	CNAG_02322	CNAG_00186
CNAG_03546	CNAG_04072	CNAG_02603	CNAG_00259
CNAG_02004	CNAG_03789	CNAG_03129	CNAG_00264
CNAG_05940	CNAG_05228	CNAG_03212	CNAG_00266
CNAG_03233	CNAG_06468	CNAG_04630	CNAG_00269
CNAG_01920	CNAG_01383	CNAG_05093	CNAG_00284
CNAG_02841	CNAG_04348	CNAG_05392	CNAG_00322
CNAG_06404	CNAG_03817	CNAG_05642	CNAG_00353
CNAG_01073	CNAG_07519	CNAG_05940	CNAG_00384
CNAG_00190	CNAG_00585	CNAG_06751	CNAG_00393
CNAG_01184	CNAG_05144	CNAG_00005	CNAG_00407
CNAG_02237	CNAG_03302	CNAG_00029	CNAG_00413
CNAG_02602	CNAG_02502	CNAG_00030	CNAG_00453
CNAG_03988	CNAG_05755	CNAG_00050	CNAG_00467
CNAG_01610	CNAG_04523	CNAG_00051	CNAG_00485
CNAG_03247	CNAG_01354	CNAG_00132	CNAG_00510
CNAG_02933	CNAG_04298	CNAG_00141	CNAG_00519
CNAG_01611	CNAG_06472	CNAG_00150	CNAG_00539
CNAG_01232	CNAG_01148	CNAG_00191	CNAG_00567
CNAG_07647	CNAG_06341	CNAG_00261	CNAG_00659
CNAG_06973	CNAG_01810	CNAG_00376	CNAG_00672
CNAG_05337	CNAG_02660	CNAG_00430	CNAG_00678
CNAG_04663	CNAG_03603	CNAG_00443	CNAG_00679
CNAG_07707	CNAG_06535	CNAG_00526	CNAG_00688
CNAG_01795	CNAG_01390	CNAG_00547	CNAG_00707
CNAG_06698	CNAG_01140	CNAG_00582	CNAG_00727
CNAG_02313	CNAG_05884	CNAG_00586	CNAG_00793
CNAG_04478	CNAG_03675	CNAG_00587	CNAG_00851
CNAG_06658	CNAG_03064	CNAG_00601	CNAG_00858
CNAG_04934	CNAG_04222	CNAG_00648	CNAG_00860
CNAG_03392	CNAG_03645	CNAG_00674	CNAG_00876
CNAG_07456	CNAG_06997	CNAG_00692	CNAG_00897
CNAG_00148	CNAG_00729	CNAG_00693	CNAG_00979
CNAG_03924	CNAG_03964	CNAG_00784	CNAG_00981
CNAG_06259	CNAG_05401	CNAG_00788	CNAG_00986
