cna1_37C_Down	cna1_37C_Up	Pho80_hiPi_Down	Pho80_hiPi_Up
CNAG_04891	CNAG_00177	CNAG_04345	CNAG_00895
CNAG_00588	CNAG_00758	CNAG_05019	CNAG_01263
CNAG_03759	CNAG_01883	CNAG_05186	CNAG_02221
CNAG_05916	CNAG_00443	CNAG_00007	CNAG_02777
CNAG_02864	CNAG_01118	CNAG_00057	CNAG_03398
CNAG_01971	CNAG_03849	CNAG_00063	CNAG_04867
CNAG_03007	CNAG_06242	CNAG_00126	CNAG_05459
CNAG_03223	CNAG_06529	CNAG_00162	CNAG_06326
CNAG_02526	CNAG_05590	CNAG_00186	CNAG_07629
CNAG_05641	CNAG_03910	CNAG_00259	CNAG_02322
CNAG_01506	CNAG_02777	CNAG_00264	CNAG_02603
CNAG_00407	CNAG_01026	CNAG_00266	CNAG_03129
CNAG_01081	CNAG_05542	CNAG_00269	CNAG_03212
CNAG_07725	CNAG_01148	CNAG_00284	CNAG_04630
CNAG_00587	CNAG_03068	CNAG_00322	CNAG_05093
CNAG_02685	CNAG_04794	CNAG_00353	CNAG_05392
CNAG_07981	CNAG_02972	CNAG_00384	CNAG_05642
CNAG_04138	CNAG_02264	CNAG_00393	CNAG_05940
CNAG_04903	CNAG_06650	CNAG_00407	CNAG_06751
CNAG_00979	CNAG_06568	CNAG_00413	CNAG_00005
CNAG_02591	CNAG_05637	CNAG_00453	CNAG_00029
CNAG_02156	CNAG_02968	CNAG_00467	CNAG_00030
CNAG_01921	CNAG_03086	CNAG_00485	CNAG_00050
CNAG_05939	CNAG_01627	CNAG_00510	CNAG_00051
CNAG_05158	CNAG_07306	CNAG_00519	CNAG_00132
CNAG_00827	CNAG_06777	CNAG_00539	CNAG_00141
CNAG_01272	CNAG_06640	CNAG_00567	CNAG_00150
CNAG_00091	CNAG_05264	CNAG_00659	CNAG_00191
CNAG_00546	CNAG_06690	CNAG_00672	CNAG_00261
CNAG_05654	CNAG_06166	CNAG_00678	CNAG_00376
CNAG_00269	CNAG_00798	CNAG_00679	CNAG_00430
CNAG_05818	CNAG_01993	CNAG_00688	CNAG_00443
CNAG_05448	CNAG_06356	CNAG_00707	CNAG_00526
CNAG_01668	CNAG_00349	CNAG_00727	CNAG_00547
CNAG_03650	CNAG_05115	CNAG_00793	CNAG_00582
CNAG_06835	CNAG_02935	CNAG_00851	CNAG_00586
CNAG_01230	CNAG_06241	CNAG_00858	CNAG_00587
CNAG_05312	CNAG_07827	CNAG_00860	CNAG_00601
CNAG_02920	CNAG_05457	CNAG_00876	CNAG_00648
CNAG_05138	CNAG_02705	CNAG_00897	CNAG_00674
CNAG_06833	CNAG_06411	CNAG_00979	CNAG_00692
CNAG_03783	CNAG_03599	CNAG_00981	CNAG_00693
CNAG_01816	CNAG_06610	CNAG_00986	CNAG_00784
CNAG_05803	CNAG_00919	CNAG_01013	CNAG_00788
CNAG_02217	CNAG_02100	CNAG_01023	CNAG_00796
CNAG_02544	CNAG_04313	CNAG_01044	CNAG_00798
CNAG_03465	CNAG_00791	CNAG_01079	CNAG_00824
CNAG_06396	CNAG_06628	CNAG_01090	CNAG_00826
CNAG_03782	CNAG_05988	CNAG_01095	CNAG_00865
CNAG_02030	CNAG_07505	CNAG_01139	CNAG_00908
CNAG_04796	CNAG_04269	CNAG_01141	CNAG_00909
CNAG_00586	CNAG_02104	CNAG_01154	CNAG_00917
CNAG_05089	CNAG_00699	CNAG_01223	CNAG_00919
CNAG_05915	CNAG_02389	CNAG_01230	CNAG_00933
CNAG_06238	CNAG_05129	CNAG_01231	CNAG_00964
CNAG_03224	CNAG_00904	CNAG_01247	CNAG_01021
CNAG_03154	CNAG_00194	CNAG_01253	CNAG_01040
CNAG_07939	CNAG_07917	CNAG_01279	CNAG_01052
CNAG_03398	CNAG_03716	CNAG_01341	CNAG_01055
CNAG_07441	CNAG_03474	CNAG_01379	CNAG_01062
CNAG_07380	CNAG_07742	CNAG_01380	CNAG_01082
CNAG_07894	CNAG_07971	CNAG_01446	CNAG_01193
CNAG_07498	CNAG_01349	CNAG_01455	CNAG_01268
CNAG_06501	CNAG_02934	CNAG_01464	CNAG_01277
CNAG_03143	CNAG_00550	CNAG_01491	CNAG_01370
CNAG_00446	CNAG_00080	CNAG_01555	CNAG_01422
CNAG_00691	CNAG_02192	CNAG_01596	CNAG_01425
CNAG_04691	CNAG_04707	CNAG_01598	CNAG_01527
CNAG_05660	CNAG_06250	CNAG_01621	CNAG_01530
CNAG_03797	CNAG_05130	CNAG_01648	CNAG_01574
CNAG_03492	CNAG_07729	CNAG_01735	CNAG_01576
