Gene	cna1∆/WT(37C)	pho80∆/WT(+Pi)	pho81∆/WT(-Pi)	label
CNAG_00919	1.241943347	4.56669759	0.202984666	CNAG_00919
CNAG_01879	1.614536228	2.265878625	-0.145855597	CNAG_01879
CNAG_06640	1.142845635	1.474958101	0.238236952	CNAG_06640
CNAG_06238	-2.093268279	1.248709493	0.357312812	GST1
CNAG_02777	1.069282286	5.504759458	-7.134745782	PHO84
CNAG_04981	-1.425750674	0.0829006	0.138672526	
CNAG_00575	-1.644562805	-0.612435513	-0.545759444	
CNAG_05968	-1.189791752	-1.488256101	1.579705234	
CNAG_00010	-0.068855913	0.559678376	-1.035004611	
CNAG_07538	0.034704534	0.755669481	0.624251673	
CNAG_01464	-1.31079743	-2.8912938	-0.938590766	
CNAG_01232	-0.94839978	0.246453519	0.833046243	
CNAG_00025	-0.972279165	-0.131321557	-0.343126906	
CNAG_02940	0.38469731	0.821699352	-1.233854838	
CNAG_07368	0.121865423	-0.143120615	-1.590219768	
CNAG_04891	-6.356056	-1.166328007	1.803828543	
CNAG_00588	-6.30867672	-0.350752578	1.286923484	
CNAG_03759	-5.018930819	0.73413632	0.54995789	
CNAG_05916	-4.658058028	-0.488256101	-0.227649688	
CNAG_02864	-4.599508857	0.284333402	-1.878315436	
CNAG_01971	-4.140209723	-0.208148182	0.492242392	
CNAG_03007	-3.771663361	3.029592203	0.506275451	
CNAG_03223	-3.664093446	-1.040160314	-0.124731376	
CNAG_02526	-3.646212602	-0.247248002	0.006815565	
CNAG_05641	-3.59504823	-0.350752578	1.416206501	
CNAG_01506	-3.529516947	-0.132112291	0.035384717	
CNAG_00407	-3.428862316	-2.320031389	-0.001141159	
CNAG_01081	-3.331867374	-0.417866774	0.100973059	
CNAG_07725	-3.291064761	0.511743899	-1.812612189	
CNAG_00587	-3.249973289	2.842660777	2.59435201	
CNAG_02685	-3.126757409	-0.060834878	-0.105659164	
CNAG_07981	-3.044182835	-0.751290507	0.509315906	
CNAG_04138	-3.002706199	-0.488256101	-0.021198811	
CNAG_04903	-2.945294339	1.020757546	-1.047077443	
CNAG_00979	-2.871053801	-4.184654654	0.857859198	
CNAG_02591	-2.870771567	1.511743899	0.187387811	
CNAG_02156	-2.865992977	-0.896536235	0.561481475	
CNAG_01921	-2.768240945	-0.488256101	-0.812612189	
CNAG_05939	-2.764979617	0.450343354	0.598320912	
CNAG_05158	-2.750904909	0.283474911	-0.208020882	
CNAG_00827	-2.710525448	0.807199782	0.490579343	
CNAG_01272	-2.701355932	-0.729264201	2.434070011	
CNAG_00091	-2.69513698	-0.00826316	0.470694612	
CNAG_00546	-2.689822087	-0.028824483	0.149824398	
CNAG_05654	-2.676407244	-0.280814022	2.652768696	
CNAG_00269	-2.61937756	-1.073218602	1.917400644	
CNAG_05818	-2.604902874	-0.326666959	0.168022486	
CNAG_05448	-2.555247222	-0.18869582	-0.439153794	
CNAG_01668	-2.488133026	-0.810184196	0.942275313	
CNAG_03650	-2.451019853	0.59920674	-0.537989809	
CNAG_06835	-2.443611784	-0.759558123	-1.047828651	
CNAG_01230	-2.409904695	-1.259010009	1.422332604	
CNAG_05312	-2.395023622	0.73413632	1.458241721	
CNAG_02920	-2.381217822	0.359740805	-1.642687188	
CNAG_05138	-2.360613298	-0.769156928	1.141419665	
CNAG_06833	-2.358850009	0.944703306	-0.458975235	
CNAG_03783	-2.315985416	0.542770794	-0.195940829	
CNAG_01816	-2.308809327	-1.198749484	-0.713076516	
CNAG_05803	-2.304421073	0.03781271	0.942275313	
CNAG_02217	-2.274315341	0.077341074	0.739183448	
CNAG_02544	-2.265740605	1.511743899	0.509315906	
CNAG_03465	-2.241398645	-0.060162449	1.208531741	
CNAG_06396	-2.2361232	-0.040797124	0.611885639	
CNAG_03782	-2.218902354	-1.830648299	1.260144153	
CNAG_02030	-2.217497832	-0.04369265	-0.174908226	
CNAG_04796	-2.179583961	0.151568334	-0.227649688	
CNAG_00586	-2.169563943	1.627221116	-0.358894222	
CNAG_05089	-2.113737511	-0.488256101	0.54995789	
CNAG_05915	-2.098741723	0.077341074	1.946982316	
CNAG_03224	-2.058662605	0	-0.227649688	
CNAG_03154	-2.041190312	1.661491018	1.469423179	
CNAG_07939	-2.005057127	-0.180133806	-0.049312447	
CNAG_03398	-2.002706199	1.6816689	0.094278406	
CNAG_07441	-2.002706199	0.511743899	1.942275313	
CNAG_07380	-2.002706199	0.511743899	-1.812612189	
CNAG_07894	-2.002706199	0.6816689	-0.879726385	
CNAG_07498	-1.996212785	-0.428135109	-0.498101566	
CNAG_06501	-1.97836238	-1.083414369	0.824189243	
CNAG_03143	-1.974501241	-0.659271163	-0.50497843	
CNAG_00446	-1.953796599	0.341818897	0.134920391	
CNAG_00691	-1.949353628	0.45516037	0.747432679	
CNAG_04691	-1.948666359	0.136234763	0.084294318	
CNAG_05660	-1.926355313	-0.177915981	1.371812382	
CNAG_03797	-1.917817302	-1.225221696	-0.227649688	
CNAG_03492	-1.89425376	-0.829293019	0.29235737	
CNAG_05458	-1.877758106	0.890255522	-0.178740088	
CNAG_06931	-1.850703106	-0.488256101	0	
CNAG_02070	-1.840617277	-1.388720428	0.152381361	
CNAG_02751	-1.836406677	-0.219767266	-0.633642048	
CNAG_04874	-1.834383302	0.023950057	3.391701538	
CNAG_00485	-1.827332598	-1.367961868	0.68488747	
CNAG_01121	-1.826903337	0.222237281	0.125987266	
CNAG_07456	-1.80416052	-0.421141906	-1.38880448	
CNAG_06863	-1.799116394	0.525040721	0.156265293	
CNAG_03464	-1.781755752	-0.575718943	0.291724471	
CNAG_05632	-1.766045502	-2.073218602	0.915308265	
CNAG_06336	-1.745217403	-0.18869582	0.45252988	
CNAG_00984	-1.742492786	0.289351477	-0.610978328	
CNAG_02734	-1.739671793	0.341818897	0.006815565	
CNAG_07658	-1.731404177	0.096706399	1.094278406	
CNAG_01942	-1.722474305	-0.710648523	-0.054813092	
CNAG_04681	-1.71825281	-0.101232978	0.595472549	
CNAG_05387	-1.713343556	-4.35809971	2.038083867	
CNAG_04459	-1.696077241	0	-3.42928355	
CNAG_00813	-1.692750746	0.511743899	2.579705234	
CNAG_05659	-1.680778104	0.096706399	-0.227649688	
CNAG_07652	-1.680778104	0	1.094278406	
CNAG_07816	-1.680778104	0.248709493	0.450422217	
CNAG_07850	-1.680778104	-0.073218602	0.357312812	
CNAG_02602	-1.664537463	0.296015208	-0.227649688	
CNAG_04943	-1.664226928	0.670005982	-0.217596024	
CNAG_00826	-1.653192273	2.833671993	0.772350312	
CNAG_07745	-1.651903432	-3.759810674	0.044970766	
CNAG_06291	-1.619952912	0.511743899	-0.294763884	
CNAG_03051	-1.615244944	0.208351755	0.848701198	
CNAG_02102	-1.614890169	1.359740805	-0.227649688	
CNAG_04025	-1.608628318	-0.166328007	-0.879726385	
CNAG_07406	-1.607776273	0.305293021	3.388339708	
CNAG_02733	-1.59224143	-0.240328588	0.541737383	
CNAG_07895	-1.5876687	0.319098821	0.964995389	
CNAG_01936	-1.584864627	0.219563147	-0.136019213	
CNAG_06500	-1.580682269	-0.321146116	-0.042617795	
CNAG_05666	-1.57889849	-1.381340898	0.006815565	
CNAG_04322	-1.574814373	-0.967423938	0.285522129	
CNAG_03194	-1.567958274	-0.343866192	0.066081515	
CNAG_04139	-1.551010229	-0.21695408	-0.535771984	
CNAG_02510	-1.550306179	-0.214495289	-0.173201904	
CNAG_03227	-1.546547106	-0.810184196	-0.182325698	
CNAG_00848	-1.537552982	0.177324859	-0.099642076	
CNAG_03679	-1.535240196	-1.295611024	1.261097497	
CNAG_01131	-1.521373847	-0.634106968	0.978801189	
CNAG_04347	-1.520125429	-0.836179405	0.524422798	
CNAG_06169	-1.517215769	-0.720916858	-1.053620289	
CNAG_07574	-1.504312953	-0.973682929	0.450422217	
CNAG_03142	-1.503774966	-0.618840211	-2.233854838	
CNAG_04634	-1.496484906	0.163820595	0.406478869	
CNAG_05412	-1.488133026	1.05231228	0.55662162	
CNAG_02586	-1.488133026	0.073622786	-0.581286643	
CNAG_05837	-1.488133026	0.096706399	0.094278406	
CNAG_07526	-1.488133026	0	0.357312812	
CNAG_02418	-1.480659476	0.07297175	0.296616881	
CNAG_04606	-1.471904564	0.541491242	-0.3056522	
CNAG_04094	-1.469411053	-0.002829274	0.595472549	
CNAG_00866	-1.464877874	-0.136783731	-0.019541493	
CNAG_02587	-1.449958323	-0.062950267	0.832891853	
CNAG_02206	-1.446312851	0.359740805	0.509315906	
CNAG_05010	-1.446312851	-0.225221696	0.887827529	
CNAG_03019	-1.440400807	-0.684176311	0.297012302	
CNAG_06297	-1.439461022	-4.759496783	-1.745497993	
CNAG_03161	-1.433833401	-0.288947293	-2.469176277	
CNAG_06557	-1.430799851	0.170706981	0.102498913	
CNAG_04043	-1.418320661	-0.421141906	-0.517156306	
