Gene	ACT1	GIT1	CNAG_01879	CNAG_00919	CNAG_06640
WT_R1	16.84911524	23.39519578	28.06201807	26.54917875	26.76573139
WT_R2	16.75186913	23.38030635	27.90513513	26.48934371	27.00553056
WT_R3	16.84279314	24.15784743	28.00454029	26.50650459	26.72094063
WT+Rapa_R1	17.2277927	21.47367724	27.00978716	26.77268913	24.50235518
WT+Rapa_R2	17.43470826	21.49752	27.18055577	26.70368826	24.50899108
WT+Rapa_R3	17.27790476	21.47394313	27.08857437	26.54766148	24.6955166
pho80_R1	17.79670955	21.28911854	27.2222581	21.20551831	25.22500725
pho80_R2	18.12549517	21.32978791	26.83406239	21.16823817	25.28984443
pho80_R3	17.58592151	21.34578395	26.70630035	21.77436664	25.20241255
pho80+Rapa_R1	17.75078772	18.83557516	26.26308036	26.11912497	22.73444669
pho80+Rapa_R2	17.80514682	18.80100651	25.95139371	26.37454498	23.21078536
pho80+Rapa_R3	17.65710843	18.94156837	26.54600665	26.17358273	22.95296093
