Gene_ID	WT+Rapa/WT	pho81∆/WT(-Pi)	pho80∆/WT(+Pi)	label
CNAG_02944	1.178135317	-8.387521025	6.896639271	APH1
CNAG_05005	1.179060506	-0.216061714	1.139775121	
CNAG_06640	1.03203213	0.238236952	1.474958101	ATG42
CNAG_05144	-1.856084108	2.05840137	-1.630860497	
CNAG_03007	2.001138191	0.506275451	3.029592203	
CNAG_06388	-1.002793562	-2.043566624	-4.786435594	
CNAG_06614	1.374410156	-4.647097475	3.595284594	GDE1
CNAG_04350	1.180409738	-2.139262694	1.431125438	GIT1
CNAG_05652	1.419566718	0.639083781	2.251592001	
CNAG_01896	1.100442474	-0.392441843	1.344336112	
CNAG_06865	-1.242380945	0.531342212	-1.225221696	
CNAG_03113	2.857172749	0.681150497	1.669285176	
CNAG_06554	1.134199058	0.147859447	1.370129293	
CNAG_02701	-2.608461998	0.871885985	1.723794376	
CNAG_07395	-2.572662159	0.333661544	0.212183617	
CNAG_01653	-2.291533203	0.214354858	4.858909285	
CNAG_02691	-2.285268878	0.903594845	0.578858094	
CNAG_07362	-2.169047056	0.939645057	0.137064137	
CNAG_00813	-2.107491499	2.579705234	0.511743899	
CNAG_06916	-2.017401836	0.897881194	-0.018770818	
CNAG_04777	-2.008276603	-0.725149348	-0.538882175	
CNAG_03724	-2.000108153	0.600869844	-0.307683856	
CNAG_03624	-1.982740402	0.089540487	0.113779913	
CNAG_07413	-1.979443124	0.0244136	0.406561662	
CNAG_04072	-1.930960234	0.54995789	-0.295611024	
CNAG_03789	-1.912246902	0.750976661	-0.675883105	
CNAG_05228	-1.891393014	0.274850652	0.282262052	
CNAG_06468	-1.890410659	-0.683825883	0.540695272	
CNAG_01383	-1.880296155	1.094278406	0.096706399	
CNAG_04348	-1.879152665	-0.252311743	0.075644784	
CNAG_03817	-1.869776358	0.295912268	0.167789497	
CNAG_07519	-1.864091093	-0.227649688	-0.174147511	
CNAG_00585	-1.860355123	0.973984173	-0.488256101	
CNAG_03302	-1.830017646	-0.154893346	0.402514829	
CNAG_02502	-1.827917209	-0.096405155	0.450343354	
CNAG_05755	-1.800134138	0.371812382	-0.366265577	
CNAG_04523	-1.786011864	1.396841176	-0.040797124	
CNAG_01354	-1.785655587	0.115238025	-0.157714876	
CNAG_04298	-1.773061771	0.363544766	0.595159907	
CNAG_06472	-1.768696858	0.116795843	0.616080558	
CNAG_01148	-1.727120741	0.263336664	-0.098309583	
CNAG_06341	-1.726769972	-0.511442654	-1.040797124	
CNAG_01810	-1.726225429	-0.134540284	-0.04768351	
CNAG_02660	-1.7208395	1.772350312	0	
CNAG_03603	-1.70471711	0.493634283	-0.26586368	
CNAG_06535	-1.70455012	0.286923484	-0.134619147	
CNAG_01390	-1.696090405	-1.636455234	-0.289476237	
CNAG_01140	-1.695277154	0.585937187	-0.002829274	
CNAG_05884	-1.691430011	0.344256659	0.256702283	
CNAG_03675	-1.689375935	1.12744527	-0.440950387	
CNAG_03064	-1.680110439	0.116304713	-0.109744478	
CNAG_04222	-1.674398701	-0.227649688	-0.187389622	
CNAG_03645	-1.652435001	0.303873553	0.29700505	
CNAG_06997	-1.644391187	0	1.833671993	
CNAG_00729	-1.622282675	0	0	
CNAG_03964	-1.618553325	0.23178193	0.639499446	
CNAG_05401	-1.611092162	0.620347218	-0.147219184	
CNAG_03975	-1.596729123	0.341715957	-0.421141906	
CNAG_06126	-1.592719559	-0.732884997	-0.073218602	
